date,user,review
19 August 2019,Drat1964,"As others have said time travel is always a cop out, but there seem to be some major problems with it's use here, first is the fates of black widow and gamora, we are told (by the writer in the bluray commentary) that black widow can't be brought back because the fate of obtaining the soul stone can't be undone, yet gamora seems to have undone here fate from the same choice. The small point that if gamora never made the choice due to the time travel, then in fact none of the events in the previous could never have happened as Thanos would have been one stone short seems to be ignored. Then you have Captain America's fate, he time travels back and lives out his days as agents Carters secret husband, cool. Unfortunately this then means that within the MCU universe He also has a reactionship with agent 13, technically his own great niece, whoops."
5 July 2019,gurpreetsingh-23756,"I do not like marvel films, because forced comedy is not how you make films. I liked infinity war because of thanks, a very decent villian. When comes to endgame, it is a fraud, emotions without reasons and are they not the avengers, they avenge. Right! I saw the trailer and thought this is gonna be a film where avengers are gonna shine. But all that suit up, training was for time travel to see their younger selves and parents. An 8 year old will be able to write that outline. By far the biggest disappointment by marvel, it has turned itself into the new transformers franchise. The only thing they are better at apart from the money is, paying off critics and websites to mislead by positive reviews."
1 August 2019,mike_moor,"If you like special effects then you will like this movie. If you like a good, intriguing, believable story with interesting characters then this movie may be very lacking in that department. The characters with all their interesting super powers just seemed to be a bore. Perhaps this sort of thing happens when you have too many main characters in one movie. There is no character development. One thing there is no shortage of is good looking special effects but it merely covers up the inadequacy of any kind of substance in the story lines and characters.

The story totally contradicts itself. I'm not going to post spoilers in this review but in the end it really looked like the writers just made up unrealistic stuff that did not make any sense or had any sort of believable realism. If you tell a story like a 3 year old, other 3 year olds are going to love your story but adults are going to be bored to tears.

They turned almighty Thor into a 3 year old, with mannerisms, intellect and all the traits 3 year olds display. But here we go again with Hollywood trying to emasculate men in all their latest block busters. Political nonsense that seems to be infecting and infesting big budget movies... It really just makes the world of Hollywood look all the more plastic.

Perhaps the extremely high rating of this movie made me expect something really good and entertaining but all the enthusiasm I had soon turned in boredom and mild resentment because 3 hours is a lot to spend on something that seemed to bring only boredom."
7 June 2019,circellic,It was extremely disappointing. Crammed every politically correct them down your throat.
3 June 2019,WebHead62,"I want to start out saying I love all the Marvel movies leading up to Endgame. I loved Infinity War because it seemed to be setting up a terrific conclusion to the original 6 Avengers story arc's. I was very wrong. Let's start with Tony's Arc. In Ironman 1 Tony is told you are a man who has everything and nothing. In Ironman 2 we find out his dad was distant and cold to him, and in ironman 3 he is getting panic attacks because he thinks it's up to him to save the world from all threats. So in Endgame he finally gets everything that's important. He becomes a Dad and husband and... was proven right by having to die saving the universe himself? Why? Because we are supposed to believe Tony can't retire? Of course he can. Didn't he say to Steve in AoU ""isn't that why we fight so we can end the fight? So we can go home?"" Tony wanted to retire. Tony's arc should have been about being a good dad like his father never was and finally becoming the man who has everything important. He should have learned that he doesn't have to do it all on his own. Team work should have won the final battle. What's the point of finally getting all the Avengers together if it's left to one man to sacrifice himself to save everyone? Tony's ending was not satisfying and it was not the end they have been building towards from the beginning. Now let's talk about the real tragedy in this movie. Steve Rogers character. We know he is a good man who always does what he believes is right. He calls Home the Avengers facility and says he can't ignore a situation that's headed south. He loved Peggy but found out she had gotten married and had a happy life and he tried moving on with her niece. This storyline was ignored which was ok because most of Steves storyline in the MCU has been about saving Bucky. You remember him right? Steve didn't seem to for the entire movie. Instead of thinking about Sam and Bucky and all the people they are going to save if their plan works when they find Thanos in the beginning of Endgame Steve's just looking at the Peggy compass that he hasn't looked at in at least 3 movies. Why? So we can all forget about his actual character development and think it's a great ending when he goes back in time to be with Peggy. I'm just going to ignore all the plot holes associated with Steve going back in time and just focus on the character assasination this commits. This means the same guy who says he can't ignore a situation headed south, who never ran away from a fight, who said I'm with you till the end of the line"" to Bucky is just going to live out his life in the past never saving his friend from being a brain washed assassin, never saving his other friends parents from being killed by his best friend, never stopping any of the thousands of bad things he would know are going to happen? That's not Steve. The writers never let Steve get a personal life. He never found someone after Peggy and he never had anything except the Avengers. He was the one that was set up to die. The final battle starts with what is probably the most epic scene in comic book movie history but fizzles our soon after. Doctor Stranges plan makes no sense. How was this the only way they could win? Why couldn't Captain Marvel snap? Why couldn't captain Marvel just fly the gauntlet to another galaxy? Why couldn't Doctor Strange open a portal and drop the gauntlet on some random planet? In Infinity War why didn't Doctor Strange use his portal to go to Wakanda and tell Thor to aim for the head. The characters powers were very inconsistent for the first time in the MCU. Why was Thanos with no infinity stones able to fight Mjolnir and Storm Breaker but Thanos with all 6 stones would have lost to Storm Breaker if Thor would have just aimed for the head? Why can Captain Marvel fly through a huge spaceship 10 times but she gets knocked out after one punch from Thanos? Why does no one attack Thanos at the same time as someone else? Where's the big team up? You would think getting everyone together for the first time would have been the only way to defeat Thanos, but you'd be wrong because it's all about Tony stark. Even Steve picking up Mjolnir means nothing really because it has no affect on the end of the battle. Thor and Steve could be taken out of this movie and nothing would change. They do nothing of importance. This movie seems so disconnected from Infinity War that it's boggles my mind how this movie has the same writers and directors as Infinity War and it was filmed at the same time as Infinity War. How can you get one so wrong and the other so right? It seems clear to me that the writers and directors decided that Tony was dying and Steve was going back to the past no matter how much their story suffered from doing it. It's like they had a check list of things to put in the movie without actually making a good story that fit in with the rest of their movies. This is by far the most dissapointing ending to anything I've ever looked forward to."
6 August 2019,bizlats,"What have they done wrong with this movie ""everything"" They have turned Thor & Hulk into joke characters the whole movie feels hurried and confusing the CGI is poor on more than one occasion a lot of MCU characters are more cameos than necessary.I enjoyed the early Marvel movies but the most recent ones are ruining the franchise how they made so much £££ out of this is baffling it only gets more confusing the longer you watch it.I am not sure why so many cameos were necessary as Captain Marvel was all that was needed."
6 August 2019,escape30-553-657408,"So many others have captured how I felt about this movie, that regurgitating what they said would lessen their impact. So all I want to say is that this movie was slow, disjointed, badly executed in writing and a complete disappointment. Even my 9 year old grandson said it sucked. Sad...."
14 August 2019,camperswag,"I cant believe people think this is 8.8, in a normal world this film is around 6, Infinity war is around 7, and some teenagers watch this at the cinemas and no one remembers it after a month."
10 July 2019,FilmMan47,"Seriously how did this junk made so much money is beyond me are people really crazy they don't know what they have done,this film is pure nonsense,and i hate to say this Thanos was a total looser here also what happened to hulk its a shame people will realise this in future that what a load of crap nonsense this was a total waste of time and money,it should have not even made 50 bucks at box office that's how bad this is,Scarlet Johannson was sacrificed in this mess just so people can shed a tear and throw money at the screen ,this makes me wonder the makers and people really enjoyed killing her black widow and iron man for cash ,both of them are dead now.,besides that this film is contagious cesspool of bad Cgi ,horrible cheesy Dialogs and Cartoonish action,and they say this can match avatar 2009 avatar was a masterpiece holds great repeat value then this any day,endgame holds no value as a film at all forget about repeat value,how is this a film it does not even qualifies for direct to Disc DVD Or hallmark movie,i feel like this is a bad joke its so bad that you cannot even tell it to yourself alone my rating is 1/10.skip it do not waste your time and money on this the whole world already wasted."
3 September 2019,StarTwin82,"I can't believe we just sat and watched this movie. There are a million different problems with this movie. Be advised we have watched all of the other Marvel movies, and have begun watching them over again with our children, and we feel totally disappointed with this last installment. I could go on forever on how it doesn't make any sense and is so disjointed... Spoilers ahead. 1. Why were there no paradoxes with the amount of interaction Thor had with his mom, Tony Stark had with his dad, and Captain America had with himself? Even Nebula met herself and then killed herself...Why didn't it impact or change anything in the future? 2. How come Tony Starks' daughter still exists if Thanos didn't get a chance to kill everyone in the first place? Wouldn't that negate the other off shoot time period? 3. How come Gamora was alive for a moment,(she lost her life due to Thanos in Infinity War) but Black Widow (who lost her life as a part of the same ritual)was dead dead? Never to return again?

Other troubles:

4. How come selfish Hawkeye gets a happy ending with his family after he killed his friend, and also went on a killing rampage prior to getting everything back? 5. Why did they ruin Thor and Hulk? They made Hulk the ""smart hulk"". He was straight up annoying. Thor was plain out childish. Why does the chosen ruler of Asgard, choose not to rule Asgard, and instead gives the job to Valkyrie, if not to merely push the feminine agenda and female power movement we are currently in? 6. Why did they make all the females go up against the army, alone at one point during the battle without males? Again, it felt like a commercial. 7. Assuming Captain America stayed in the past implies that there are two Captain America's in that same timeline. Eventually, it would cross over to the time when Captain America unfreezes. This would imply he is living his life in secret with Agent Carter, but then that doesn't make sense, because the old Captain America ends up on that bench in the ending timeline in an old man's jacket. 8. How come Captain Marvel doesn't age? She has been the same age since the 1990's. This wasn't explained in the movie. Although not a big concern, but something to note. 9. How come all the characters had no depth to them whatsoever, even those we have come to know and love? They were all one note and disjointed. None of them acted in the same way they had in previous movies. There are many more plot holes and disappointing elements, but these are the ones that primarily stood out. I realize it has been explained away by saying there are multiple timelines, however the multiple timelines argument, will not give me back the three hours we wasted by watching this movie. We really hoped it would get better as time went on, only to find out it was about to get worse. So disappointing!! A big let down."
31 August 2019,mrbwade,"I Have Watched Every Single Movie & Every Single TV Show... This Is Awful.

They Hyped This Up So Much Yet Was So"
29 August 2019,davish_wulf-1,"Spoiler alert, so read at your own risk. I though the latest title couldn't get much worse, until I watched Endgame. Again, a movie that looks like a computer game, this time since the script failed to innovate, it goes back to the previous movies ""Back to the future"" style. A fat Thor playing Fortnite, a Mjornir that any bloke can use, including the strange duck face Captain ""never gets his suit right"" Strangelip. A captain that gets old and delivers his shield to the flying ""never had an impact role"" birdie. An intelligent nerdy Hulk who lost all his grace (a green Mark Ruffalo on steroids and that's it). The list goes on and on, starting slooooow in the beginning to end in the yet again climax of the ""playmobil-bring the action man and all the transformers"" battle in the end, with depressing results and laughable deaths. Bring the wife and put her on an iron man suit, hell bring the smurfs, the ""useless on this flick"" Black Panther and friends, Popeye and your dog if you want. This is trash ""cinema"" in the making. let's skeese the money-cow with poor scripting, terrible CGI and ruin every child's fantasy regarding what is what and whom is whom on the ""Marvel"" universe. Marvel, you were sold to Disney, get ready for your next princesses, easy jokes and death of your child heroes."
10 June 2019,gorgos19,"I don't mind long movies, but they should be interesting. The story of this one could have been written by any 10 year old. What are story-writers getting paid for these days?"
7 June 2019,aydinibooo,Wow very cool. Time travel? Literally the laziest plot ever
1 August 2019,anssam-84084,"Endgame, The Flash (TV Series), and Legends of Tomorrow (TV Series) has many similarities and that bothers me the most. Felt like they stolen the idea & concept of time travel directly from The Flash story line. A big fan of Infinity War. It had original ideas and it was well executed. But I cannot say the same for Endgame.

My Rating 6/10"
14 August 2019,madsbugge,What is this garbage? 3 hours of absolutely nothing but awful dialogue and boring misplaced fight scenes. Must be all the brainwashed Marvel fanboys who gave this movie a top rating...
29 July 2019,onlinevirtual,"Thank goodness I waited and downloaded it for free , you got shammed into paying for this pile of garbage and I really enjoyed all the other ones. Wow just wow, the amount of show and no go / hype around this pile of vomit is insane."
1 August 2019,ajviele,"This entire movie was based on time travel, it's in the same category as Hot tub time machine. It's so awful its embarrassing."
14 June 2019,blazeolympiakos,"Worst movie i saw this year boring mess,plot holes,too cheesy,bad writing"
2 June 2019,M_Marhoon2000,"Very long,boring,I give 1 star to make balance because every rate it 10 for nothing"
21 June 2019,calebdrums,"This is a movie where one term could be used to describe it, and that term is ""tedium."" I've always had a begrudging attitude towards Avengers movies because, as with a lot of entries in the MCU, it's a lot of scientific nonsense with the action thrown in as an afterthought in order to justify its existence as a superhero movie. But I thought I would give Endgame a fair chance. After all, having all those superheroes on one screen should be fun, action packed, and entertaining, right? Wrong.

I cannot express how terrible this film was. The two redeemable parts were Tony Stark's daughter and Ant-Man. They were the only entertaining parts of the film. I pay money to see movies that are entertaining, not ones that are so full of characters that you get lost.

There are a lot of reasons that I hated this movie, but I'm going to focus on two in particular here: the story and the action, or rather, the lack of action. First, the story. This entire film was built around a needlessly complicated plot surrounding time travel, even though the time travel was completely pointless in the first place. Bruce Banner says, point blank, that traveling back into the past won't change the future. So, why do you do it, then? Why on Earth would you commit to such an exercise in complete futility? I'll tell you why, because you need more science fodder for all the Marvel super fans, so that they can leave the theater and point at someone who looks confused and feel superior.

Everything was poorly written in this movie. When your forced obscenities are being spouted from the mouths of the people you're supposed to cheer for, while your villain speaks in Shakespearean soliloquies, then you've clearly gone completely wrong with your script. Also, the part where Stark's daughter swears and we were supposed to find it cute? Yeah, I didn't. I found it grossly inappropriate and wrong to show a 4 or 5 year old child in such a manner. It wasn't innocent and sweet, it was rather demented. Meanwhile, Thanos speaks in these long, grandiloquent speeches that never seem to have an end. It was all just one big pile of dreck.

Thanos was another problem I had with this film. His motivations were never properly spelled out. They tried, but they failed rather miserably. It seemed like he just wanted to destroy the world because it was ripe for the taking, I guess? I don't know. He was weird as well, because he said he was going to build another universe, but he seemed to have a nihilistic outlook on everything, so that would mean his other universe would be completely pointless. Anyway, it was really terrible.

But this movie's main sin was its lack of action through the first two-thirds, and the fact that it hardly showed the Avengers doing anything heroic. They never stopped a bank robbery, they never helped an assault victim, all they did was do their pointless time travel stuff to attempt to stop Thanos, even though Bruce said it would be completely futile to do so. The movie couldn't get out of its own way and it suffered because of it.

Then the last third was all action and it blew my mind, but not in a good way. I left the theater with a physical headache due to the poor pacing and cinematography on the final battle sequences. They were overly long, started and stopped way too many times, and attempted to tie up every loose end from the entire MCU in one big bang. It was just terrible! You have to allow things to flow, and this movie didn't flow at all.

A movie that was boring, poorly paced, poorly written, and just a terrible excuse for film definitely deserves a spot on my worst of 2019 list. Hopefully, Toy Story 4 makes up for it!"
20 May 2019,greg-04082,"Too bad there isn't a zero star rating. I am not the target demo, was dragged to the movie theater by my young son to see it (he thought the movie was OK. I didn't.

1. Lots of nothing much happens 2. Lots of melodramatic music 3. The movie at 182 minutes is about 82 minutes too long 4. The Thor character ceases to become comic amusement about a third through the pic 5. Incomprehensible and repeated fight scenes 6. Exceptionally poor dialog in the screenplay

Visually the only star turns were Brie Larson and Elizabeth Olsen. The Scarlet Witch, one of the stronger themes was barely in this - Olsen should get her own movie.

I was three hours of my life back plus $68 bucks spent on tickets and popcorn at AMC."
7 June 2019,tiwanaks,I watch probably 1 movie on an average every week from last 3 years and have watched a lot of boring movies but this is the first time I could not watch a movie to the end Can't be more boring movie then this
20 May 2019,joeymcguire-28203,Not sure what all the fuss is about. It's no way an all-time top ten film
20 August 2019,callepoo,"This movie was a complete mess, after all the years of build up, I didn't care. It was like putting an entire smörgåsbord into a very small bowl. All the flavours and textures blended and lost their appeal. Only two characters stood out, Thor and Antman."
5 June 2019,britishcheeseboard,"I'm extremely disappointed as it didn't have any cheese in the film and the film simply wasn't British enough. Thor and Loki's lovely accents were the only redeeming qualities, the rest was just terrible as i had to sit through 3 entire hours of annoying barely understandable accents with no cheese to get my love balls stirring. Afterwards I had to have several pints of tea to cheer me up, don't waste your money on this Britons."
14 May 2019,dekadent,"Endgame is a much less interesting and visually engaging movie than Infinity War. I don't understand all the crazy hype and 8.8 on imdb is stupid, this is why I'm giving it one star, to mitigate the stupidity.

As everyone expected, remaining avengers use time travel to try to fix things, yet even for a marvel movie the time travel science is confusing and ridiculous, as well as shown in a very boring way. I've seen low budget movies that had better grasp on the scientific, logical and visual aspect of time travel.

The whole point of endgame is to resurrect the fallen avengers and other trillions of creatures across the galaxy, yet while doing it avengers end up losing irrevocably even more important members of the team, and the whole thing looks ill-conceived.

A lot of time is spent on meaningless conversations, while the devastation Thanos caused across the galaxy is barely shown, negating the past and current sacrifices of avengers.

I left Infinity War wanting to see how the story ends. I left Endgame feeling that I should've waited for it to come out on Netflix."
16 June 2019,captainobvious-39324,"Can't believe how long this film was, it was far too long and far too spread out. The characters were overly simplistic and there was too much action scenes for the characters to really develop and show off their personalities. After the film I could barely get up it really made me and my lovely Mother's backsides very sore after sitting down for over 3 hours at once. Not only is this film immensely overrated but it hurts people's bums as well!"
19 May 2019,egg_egan,"Last week I wasted 3 hours of my life watching the latest Avengers movie End Game. I am a massive Marvel fan and have loved most of the movies up to now. Lots of action and fun. What has gone wrong. I was looking forward to this film so much but was so disappointed. If you want action and fun go watch John Wick 3, Wow that is a film especially compared to this dribble.

Were do I start. At the start, or should I say for the first 30 min all the characters are depressed and feeling sorry for themselves. Then they mention time travel, yes time travel. I mean after all Marvels great films and ideas the best they could come up with to get things back to normal was time travel. What next, Ironman (Robert Downey Jr) wakes up back in Ironman 1 and the last 20 years have all been a dream aka Dallas style. Come on give me a break the best they could come up with was time travel. Anyway 1 1/2 hours into the film I turned to my friend and said the last 1 1/2 hours must be amazing as this has been so boring and all the reviews say this is a great movie. To my disappointment it did not get much better. In the 3 hours of running time there is at a push 30 minutes of action and that is at a push. The rest is just a load of rubbish.

So disappointed, won't be wasting my hard earned money on Marvel again."
27 May 2019,sst-91208,Endgame was hands down the worst entry in the Marvel cinematic universe. I've had random bouts of depression ever since i saw this film. It ruined so many of the films that preceded it i have no words. Zero stars if i could.
