review,prediction
"I had to give this 1 star as it's not possible to give it less. Having avoided it at the Cinema because i knew it was a lost cause i finally watched it tonight...... Why does Thor have 2 functioning eyes? Having been told in Guardians of the galaxy that no one can hold an infinity stone and survive, suddenly everyone can now hold one? Where is the continuity in these films? Luckily this is the last we will ever see of this franchise! Until someone decides to do a remake as there are no original ideas anymore. J.J.Abrams you now have more films to ruin 👍🏻",0
I loved all the other movies..but I'm not sure I can even finish watching this...3hours of not getting to the damn point already...,1
"As a huge fan of marvel I can say that the characters I know and love that I expected to see in the grand finalé of a 22-movie saga, where nowhere to be found. Fat Thor was played off for jokes too much. Captain America was more Thor than actual Thor. Professor hulk was just a boring character. Thanos was nothing like how he was in the infinitely superior ""Infinity War"". Time travel rules was just cheap writing. An easy way out of a complex predicament crafted by two people with minimal creative abilities. The plot was littered with holes and just boring. This movie was not exciting. One of my biggest problems was the stupid one-liners and cheap jokes. This movie was not meant to be funny. There is room for humor, but there also needs to be room for plot and suspense and seriousness. Another of my biggest problems was cap lifting mjolnir. I have no problem with him lifting it. But it was anti-climactic. Good idea, but butchered in execution. I don't say this lightly or out of arrogance or vanity, but I, as a 15 year old kid could have created a better movie. Also, the greatest part of the film: Joe Russo got cast as the gay extra in his own movie.",1
"In the movie they say that the time travel will not affect the past?! How is that possible? Thor even stole the hammer from his past!!! He left him without a hammer!!!!

Hulk basically he didn't have any fight! He did not even got revenge from the last time he fought with thanos.

Captain Marvel could just have killed the Thanos without the stones all by herself!",0
"Endgame, The Flash (TV Series), and Legends of Tomorrow (TV Series) has many similarities and that bothers me the most. Felt like they stolen the idea & concept of time travel directly from The Flash story line. A big fan of Infinity War. It had original ideas and it was well executed. But I cannot say the same for Endgame.

My Rating 6/10",1
One of the best comic book movie villains was ruined. Who writes this thing? Time travel? Really? Result: Film full of plot holes. Unsatisfying deaths of main characters Tony and Natasha. Previously cool - now ruined characters Thor and Hulk. I feel like Thanos today.,0
"So I just waisted 5 precious minutes of my life. This superwoman character is absolutely not credible! Come on, she is not destructible, she has no limits, she can go light years in space and bring on her shoulders a whole spaceship back to earth...no, why make a whole movie, and involve and kill a bunch of other way cooler and believable characters on the way, when you can just use this, the one and only, incredible all-can-do woman and just finish the film in 5 minutes. It makes no sense what you people did there. Even Superman had his limits, and was vulnerable and felt real, we were glad to accept him as a hero, because he felt like one of us. But she, she is nothing like us, humans, so I just don't get it. Sorry, one star for this nonsensical thing you call Avengers: Endgame. And yes, my rating is based on 5 minutes watching, but it is like reading a book - if you don't like the first pages, you won't fall for the rest of it...",0
They've really scrapped the bottom with this one! Oh so Bad!,1
"I know the reviews say differently. But it sucked.

Could have been so much better.

So impossibly random that a malfunction would happen to let Thanos see the pasts future which is impossible even for superhero movie standards.

Plus if you had the all powerful hand you could have controlled the event and caused your not death. Just saying.

And why was it so easy to chop hand and head in one scene but then, So difficult to handle Thanos with more super power hero's at the ready??

Thor fat??? Just dumb, ruined the movie for me.

Part one was just so good and flowed so well.",0
If you are a 7 years old kid or you have a 7 years old mind you will love this movie ...,1
The movie is not even worth half the rating it has got! It should be 3 or 4,1
Seriously I am actually convinced now that nobody in the industry knows how to write an ending. they are so focused on leaving plot opening for a possible future opportunity that they cant give a satisfying ending! Game of thrones and the decline of Stranger things to mention a few.,0
"This movie was disappointing! It didn't make sense to kill off Thanos in the first 10 min of the movie.

The whole timeline opens up to many plot holes.

You can tell Captain a marvel was an afterthought. They literally had he on the movie for 15 min runtime!

This movie could have been saved if:

1. No Time Travel 2. More Captain Marvel 3. Less Grieving scenes, (We get it) 4. More Actjon!!!",0
"Terrible movie. I have never been a big fan, of Marvel and even less of MCU, but there were several good movies within that universe.... but this one as the Infinity Gauntlet, destroyed all.... No sense to talk about, the respect of the comic source.... but Stan Lee, Jack Kirby, Steve Ditko, and many others involved on their comic origin of the characters has to be suffering in hell seeing how their creations were terribly undermined....... but just analizing from a cinematographic point of view, this film has a terrible argument, script, direction and very poor characters.... 2 hours of the film were not needed, and all the structure that were builded for this collapsed with this ending. Plot holes and nonsense everywhere.

This film represents what social media can do.... in a bad way. Stay away, if you can.",0
"How did they get this so wrong?

Absolute travesty, and possibly the most disappointed I've ever been with a movie.

Lately disappointment is a recurring theme, with a string of average or outright terrible ""blockbusters"".",0
It is getting very boring now. not realistic at all,1
"First 30 minutes everyone is moping around couldn't hang around for another 2 & a half hours to see overpaid morons do senseless acts. I am ashamed to contribute towards this movie's box office record.

PS: I am not a dumb merican who likes stupid action without a story. Disney has ruined movies no one will make quality movies anymore just idiotic superhero stuff.",0
"This is not even movie anymore, completely looks like commercial!",1
"I managed to watch 40 minutes of this crap, and then could not stand it any longer. You must be a true fan of Marvel Universe to see it until the end. If you are not, avoid - nothing makes sense in this utterly boring movie. Acting is really bad too. High-end special effects cannot save it.",0
Way to long of a movie probably could of cut an hour out of it and it wouldn't have made a difference. Probably one of the worst Avenger movies I've seen. Very slow to get to the point and it do not hold my interest or my husband's.,0
"I had to take several breaks, walk the dogs, play videogames and clean the house, while watching this absolutely ridiculous and nonsensical pile of rubbish and now afterwards, I'm asking myself why I put myself through such suffering. To what end. I guess I was hoping there would be one scene or at least one line that put a smile on my face or made me feel anything at all except extreme pain and boredom. There wasn't any of that unfortunately, so I just wasted three hours of my life I could have spent on basically anything else and it would have been more worth while. I can't decide which one was more painful to watch, this or Aquaman? Both equally and utterly disappointing I guess.",1
Captain America switched with lokki at some point in past and captain never returned. This was more like a soap than action movie.,1
Story not good .. that's way i don't like this type of move.,1
"I was so EXCITED to see this movie. After I saw it, I was like.... WhAT A PIECE OF GARBAGE!!! To me, this film and Infinity War felt like it was rushed of not see any extra scenes that we were so exited to see. This movie was ok, I mean like Time travel? Come on, I expected more from this director!",0
"I'm extremely disappointed as it didn't have any cheese in the film and the film simply wasn't British enough. Thor and Loki's lovely accents were the only redeeming qualities, the rest was just terrible as i had to sit through 3 entire hours of annoying barely understandable accents with no cheese to get my love balls stirring. Afterwards I had to have several pints of tea to cheer me up, don't waste your money on this Britons.",1
"It was a fairly entertaining film for the first couple of hours (probably worth a 6 or 7), with a few exceptions, - not least the abomination of making Thor a fat drunken slob. Then it slowly became apparent that this was all about shedding the old traditional heroes (as originally written) and replacing them with politically correct versions as per the recent trend. I'm sure it will appeal to enough millennials to make tons of money, but I suspect that this is where I get off. If the PC brigade want ethnic minority and female heroes, - why not create new ones instead of corrupting the original stories. Until they add a White (or Black) Widower, male Captain Marvel (as per the original stories) or a white panther, etc., for balance. Which, I'm guessing, is no time soon.",0
"This movie is so much childish. Whats wrong with you guys , i mean first thanos snap his fingers and then you guys did the same 😂 Is this some kind joke ?",0
